,WQI_predict,True_WQI
1307,45.169785,44.6344494927536
650,715.3197,704.401754782609
302,68.44319,73.2755144927536
108,47.842167,50.1115095652174
1735,91.93022,89.5240831594203
48,78.237045,81.5864295652174
1549,506.0944,515.940986086957
248,247.80766,282.450844347826
1533,232.43889,238.398034782609
927,62.617878,64.8636211594203
1071,31.69305,28.4569489855072
464,101.7632,104.077288115942
1461,92.95386,93.7835255072464
1696,80.37416,80.9582284927536
111,53.414272,50.9979672463768
406,910.75244,900.834902028986
793,71.52785,74.782595942029
194,52.124203,52.5761072463768
1419,55.927647,57.0826689855072
528,72.41699,79.3327168115942
1336,67.73901,65.0756292753623
852,65.78688,62.5834492753623
1008,81.45682,80.3730568115942
675,66.874985,65.4258637681159
660,51.886562,51.0806133333333
1420,41.287277,41.1029544927536
1757,113.13309,109.455725942029
1608,54.133327,49.8668007246377
1552,62.88882,65.1529568115942
592,66.20587,67.3289092753623
258,63.12045,57.2116947826087
1400,61.183334,55.9534768115942
575,40.498524,42.8980805797101
177,218.7629,220.031429565217
1422,65.091736,64.6737814492754
902,440.10422,419.051932173913
1132,101.41116,102.015536231884
1291,134.73914,135.923613333333
918,53.253143,63.2393542028986
1726,84.94884,84.0446594782609
400,86.696304,87.6736779710145
1098,62.447155,63.4041289855072
1176,86.79947,88.4216489855072
102,62.231583,63.2419298550725
1601,83.31772,85.2732622318841
957,103.91571,103.82966
1125,62.872826,63.3357585507246
305,58.44815,58.8625773913044
231,82.58382,81.0865144927536
821,45.61702,45.103408115942
47,91.55443,95.0234173913044
931,114.85698,116.413845507246
812,80.71391,81.5727753623188
634,78.30592,80.4380028985507
819,50.190044,49.8239298550725
619,359.31534,357.30688
577,72.180664,72.7792344927536
1308,70.28943,70.7559875652174
546,43.884968,45.9152420289855
808,88.41263,92.1510553623189
708,57.985764,60.0137202898551
1450,75.777115,77.6157008985507
424,59.109867,61.7051165217391
679,59.827564,63.2810472463768
1370,47.71735,46.536991884058
1529,48.76917,49.7588089855072
1453,273.13528,270.279826376812
292,80.21355,86.3424892753623
1264,127.438675,126.210008695652
442,48.674427,51.51566
382,287.6868,282.96752115942
887,140.9593,134.008968405797
1446,62.184864,63.2989385507246
750,102.98204,104.571963478261
241,232.23271,227.835992753623
602,39.948048,37.6966368115942
1520,37.699123,36.8168539130435
1774,41.619858,43.6516630724638
158,63.49529,60.6351428985507
1766,82.16615,88.5356568115942
1070,30.019896,24.5833234782609
372,63.906555,62.0695255072464
304,65.51051,64.1430849275362
759,83.129944,108.17828115942
478,126.86578,124.533395362319
1172,58.450764,57.553168115942
1014,70.572784,69.4064295652174
1629,163.4038,130.793136956522
1706,79.836365,76.1606163188406
1732,58.96888,57.8152042028986
993,86.339325,90.654715942029
1630,108.396454,114.363502318841
1642,55.881847,54.6595728985507
851,66.24367,68.3159649275362
1114,421.93143,392.59566
1583,63.003323,68.5226053333333
120,61.48114,60.2342631884058
223,59.24264,58.9270350724638
536,75.49658,74.7503828985507
1693,179.9005,179.730203391304
881,55.54497,58.6343901449275
309,59.547146,62.7783962318841
913,50.64114,51.7391182608696
724,45.762867,46.4823257971014
622,134.78795,134.610929275362
1389,68.63368,69.8152550724638
1674,452.92734,443.839308492754
1395,63.176083,49.5338936231884
186,64.7491,68.9074927536232
275,84.64319,84.8633828985507
1006,93.64162,93.4385846376812
1444,49.350376,42.9094794202898
75,85.2863,86.9090695652174
481,150.77364,146.646673043478
1773,56.73052,59.6545615652174
1476,58.963924,59.5152942028986
977,43.763584,45.0338831884058
1578,310.096,313.284982144928
421,62.690998,64.7994017391304
1475,191.08601,180.724228115942
60,94.335526,94.338195942029
285,75.66528,76.7831220289855
1338,81.67615,86.5412107246377
1081,112.31831,110.217286666667
1435,699.4585,682.273260869565
