,WQI_predict,True_WQI
75,87.83418,148.53043652173915
1282,76.40955,70.10387624057971
408,52.41245,80.65679028985508
1064,56.603714,58.2780231884058
1032,123.84911,118.30784985507243
1142,59.990585,71.59032985507248
625,36.68874,106.56063101449274
181,630.8121,575.2143588985507
1179,54.470036,52.87232985507247
1568,54.83477,48.97910550724639
1156,71.57652,70.49144985507245
248,376.20572,393.0525198550725
525,76.86881,99.52750985507244
654,59.77751,115.3509191304348
292,63.100212,99.30399365797103
60,57.0673,51.460356521739136
579,68.94969,63.71896435652175
1591,4939.3057,4953.4329918840585
790,109.74972,105.80189855942028
1365,70.51042,68.12232753623188
1199,56.80314,56.09778985507246
1048,97.8223,90.50538985507244
194,94.53023,96.21597498550724
563,324.75687,297.7093965217391
688,226.55843,229.7384147913044
1323,68.93386,63.81144695652174
301,30.952833,80.26998042898549
990,36.184937,11.518343188405796
574,65.880035,59.802935942029
1080,174.87709,156.25638985507246
351,127.29367,127.04884595942028
587,68.66374,64.73196037971015
321,73.95241,72.21428101449274
1301,132.08086,112.41573739130436
968,79.54792,78.35684725507247
1027,83.0963,77.83830985507247
1595,4665.298,4656.735378550725
8,8.781777,55.935083188405805
909,66.78274,60.4173231884058
158,62.689575,66.49391968985506
1333,65.33328,72.89759971014492
885,61.13649,64.72436985507245
620,79.101524,70.38833392173913
1044,71.237434,75.2368605884058
512,197.36066,187.99136840579712
719,36.56555,74.3975947826087
443,99.67794,109.3414109768116
1252,96.58632,101.15626144927536
107,69.587776,61.2210405884058
1059,121.14464,115.09644725507246
201,94.39236,95.553429257971
1079,100.104675,96.60418985507248
857,61.000717,82.89887376811593
636,813.04266,872.5832727536232
592,62.416084,56.469255472463765
1317,55.54475,87.43813942028987
241,103.61626,180.58456325217392
789,72.80113,62.88110841449276
1368,79.87245,78.03772608695652
111,53.305885,50.31692058840579
353,184.47446,196.9622598202899
1485,65.077774,55.15069739130435
643,211.3145,239.6747330434783
108,48.409225,49.0232805884058
635,139.37111,200.77267130434785
177,30.878735,62.5458470289855
868,49.780937,44.79547652173913
1443,82.05512,79.51584
698,187.34012,187.4895200086956
1357,175.58293,185.198408115942
1550,37.222736,71.10728463768116
1157,71.287605,68.67960985507246
1029,73.60307,78.9824431884058
1129,54.86609,56.17075985507246
65,117.87164,158.46223652173913
1518,62.90524,64.1601072463768
1574,54.314117,46.272879710144935
991,56.91992,39.502896521739125
851,73.349686,74.20068087826085
1273,100.29753,93.58606318840576
571,224.9995,232.4200805884058
692,431.5762,432.935509573913
593,54.850414,46.2041126173913
