S.Code,WQI clf,latitude,longitude
1001,2,32.237794,77.190564
1002,0,31.963639,77.116392
1003,2,31.740194,77.207533
1004,2,31.669367,77.064236
1005,2,31.422647,76.812947
1550,2,31.705853,76.934903
1006,1,31.712408,76.933089
2604,1,31.880753,76.614514
1007,1,31.83865,76.505144
1008,1,31.878094,76.203311
1009,1,31.935022,76.053444
1693,2,31.989016,75.832499
1694,1,32.111503,75.663325
1695,2,32.093633,75.609725
1010,1,32.097933,75.611474
1294,1,31.923867,75.541467
1011,2,31.51012,75.304936
1696,2,31.385361,75.176625
1012,2,31.374996,75.162691
1697,1,31.508844,75.307539
2601,0,32.263247,77.185664
2602,2,31.958136,77.115783
2603,2,31.686472,77.045619
1867,1,31.804453,78.643214
2611,1,31.798494,78.639769
1389,2,31.859386,77.165125
1086,1,31.448039,77.628283
1087,1,31.432236,77.622567
1013,1,31.247458,77.088208
1014,2,31.421014,76.837836
1015,2,31.412833,76.874881
1016,2,31.425772,76.421883
1017,0,31.380831,76.367228
1018,0,31.375996,76.364695
1293,0,30.984964,76.4672
1814,1,31.182044,76.563547
1019,0,31.379027,76.372115
1380,0,31.356053,76.372837
1690,0,30.922369,75.919469
1020,0,30.975026,75.608293
1021,0,30.99775,75.371988
1381,0,31.01532,75.715315
1691,1,30.995289,74.552492
1692,1,30.99008,74.54847
1022,0,31.139816,74.936455
1088,1,32.492399,76.176291
1089,2,32.555144,76.121039
2614,2,32.6083,76.013308
2615,2,32.596661,75.992383
2613,2,32.57045,76.119792
1097,1,32.372983,75.61039
1290,2,31.896167,77.147692
2605,2,32.027531,77.348536
2606,2,32.019789,77.331117
1090,2,31.701264,77.169233
1551,1,30.919003,76.806214
1552,1,30.915403,76.791131
1868,1,30.998567,76.738231
1869,1,31.365081,76.306519
2616,2,32.721486,76.089586
1307,0,34.078121,74.813495
2607,0,31.756389,76.936111
2608,1,32.052972,76.649286
2609,1,31.908625,76.466739
2610,1,31.806619,78.641953
2612,1,31.389297,78.353714
1306,0,34.074254,74.807199
1304,1,33.739602,75.134049
1410,0,34.07107,74.827465
1411,0,34.09033,74.784796
1491,1,30.946033,78.688498
1484,0,30.287506,78.985451
1485,0,30.290028,78.979932
1486,0,30.285854,78.978295
1487,0,30.144753,78.601484
1488,1,30.147103,78.598107
1489,0,30.140504,78.597358
1060,1,30.115135,78.307032
2725,0,30.019619,78.22939
1061,0,29.945254,78.164675
2727,1,29.851669,77.879742
1062,0,28.76062,78.143766
2488,0,28.364396,78.270269
2489,0,28.274208,78.324338
1145,1,28.1897,78.395878
2490,0,27.927803,78.866289
1063,0,27.138451,79.930775
1066,0,27.010953,79.986442
1146,0,26.610906,80.275419
1067,0,26.505542,80.314344
1068,0,26.436185,80.40961
